Size, BestCaseTime, WorstCaseTime, AverageCaseTime
100,0.000125922,0.000106227,0.000110278
500,0.00056906,0.000554673,0.00073535
1000,0.000968686,0.000864205,0.0010372
5000,0.00496949,0.00357702,0.00394947
10000,0.0089504,0.00729448,0.00841256
