Size, BestCaseTime, WorstCaseTime, AverageCaseTime
100,0.000119499,0.000103575,9.9664e-05
500,0.00213652,0.00216725,0.00217347
1000,0.00562971,0.00526556,0.00554206
5000,0.152879,0.136933,0.126743
10000,0.51877,0.520841,0.507649
